tOut,tSoOut,wind
3.861881073,9.516518956,11.30515883
3.871305398,9.516246545,11.06815671
3.880729724,9.515974135,10.83115459
3.887542186,9.515701727,10.65114493
3.89255584,9.515429321,10.51038638
3.897569494,9.515156915,10.36962782
3.899933032,9.51488451,10.30115495
3.897249856,9.514612108,10.33045789
3.889691682,9.514339708,10.41234243
3.878109847,9.514067309,10.53451138
3.862765892,9.513794912,10.69036692
3.845018119,9.513522516,10.86426126
3.824848121,9.513250122,11.05
3.803488193,9.512977729,11.23426733
3.781481482,9.512705338,11.40924193
3.759446452,9.512432948,11.56240965
3.738005382,9.51216056,11.6876163
3.718179155,9.511888174,11.76450261
3.700326106,9.511615789,11.79029835
3.68458517,9.511343406,11.75208565
3.670663307,9.511071024,11.64164571
3.657793232,9.510798644,11.4784963
3.645454546,9.510526265,11.27691706
3.633228095,9.510253888,11.04742751
3.620256255,9.509981512,10.8
3.606305863,9.509709138,10.55417446
3.590904004,9.509436766,10.3185807
3.572610611,9.509164395,10.11837772
3.55158356,9.508892026,9.959379027
3.527387175,9.508619658,9.852234522
3.49665649,9.508347291,9.8071722
3.427459451,9.508074927,9.848204257
3.302219942,9.507802564,9.956883733
3.129884766,9.507530202,10.12013581
2.922938258,9.507257842,10.32422773
2.69386475,9.506985484,10.55542671
2.455148577,9.506713127,10.8
2.219748906,9.506440772,11.04377955
1.999341362,9.506168418,11.27372261
1.805311761,9.505896066,11.47733475
1.649018672,9.505623716,11.64212153
1.542077314,9.505351367,11.7552652
1.503806804,9.505079019,11.79525848
1.532934233,9.504806674,11.74930168
1.605883654,9.50453433,11.63870235
1.715181755,9.504261987,11.47597809
1.854141706,9.503989646,11.27362333
2.016388823,9.503717307,11.04386451
2.193078979,9.503444968,10.80016174
2.382380271,9.503172632,10.55535194
2.570679469,9.502900298,10.32769789
2.753540725,9.502627965,10.12403041
2.926770709,9.502355633,9.952195251
3.071967245,9.502083303,9.855057964
3.195453495,9.501810975,9.825980027
3.309002045,9.501538648,9.858738212
3.419890846,9.501266322,9.951560765
3.533119671,9.500993999,10.12253688
3.644613683,9.500721677,10.32779497
3.753038025,9.500449357,10.55605024
3.857061737,9.500177038,10.79990048
3.948609635,9.499904721,11.04437223
4.029365641,9.499632405,11.27217435
4.097448359,9.499360091,11.47366877
4.150908424,9.499087779,11.63998369
4.182601451,9.498815468,11.7422022
4.19534942,9.498543159,11.78533111
4.194200853,9.498270851,11.78550213
4.184206165,9.497998545,11.76051541
4.168644941,9.49772624,11.72161235
4.14744676,9.497453938,11.6686169
4.124302044,9.497181637,11.61075511
4.100003008,9.496909337,11.55000752
4.075243469,9.496637039,11.48810867
4.05257382,9.496364743,11.43143455
4.032647769,9.496092448,11.38161942
4.01682494,9.495820155,11.34206235
4.006998737,9.495547863,11.31749684
4.005552598,9.495275573,11.30231358
4.023880085,9.495003285,11.3
4.07732189,9.494730998,11.3
4.162568775,9.494458713,11.3
4.260488574,9.494186429,11.3
4.377963947,9.493914148,11.3
4.499999999,9.493641867,11.3
4.621967304,9.493369589,11.3
4.74041448,9.493097311,11.3
4.828925818,9.492825037,11.3
4.916790842,9.492552763,11.3
4.949894994,9.492280491,11.30866789
4.962439823,9.49200822,11.32059004
4.923745953,9.491735951,11.36608684
4.776353479,9.491463683,11.49382698
