thScr,heat
1,29.84948639
1,39.15879417
1,47.07180539
1,45.72391993
1,41.4482232
1,37.89032663
1,34.81796705
1,32.24281483
1,30.05986747
1,28.80436068
1,30.45914768
