tAir,tTop
18.14965534,7.082830389
18.15021757,7.152377949
18.14803962,7.217687178
18.14374679,7.27746948
18.13880846,7.324142136
18.13387013,7.370814791
18.13085918,7.410803576
18.13069371,7.45345402
18.13177159,7.498233009
18.13233996,7.54201544
18.13138341,7.583740157
18.1304216,7.625145542
18.12938557,7.662032025
18.12848463,7.69816715
18.12878611,7.72761447
18.1299125,7.750938376
18.13148441,7.769157631
18.1330712,7.780142537
18.13366917,7.787856394
18.13358432,7.794256845
18.132676,7.80011851
18.13187552,7.806260336
18.13109374,7.812450747
18.13114354,7.81902959
18.13126212,7.825649775
18.13186237,7.832643914
18.13242568,7.839713402
18.13279689,7.847174622
18.13346199,7.855917344
18.13494492,7.868226206
18.13642785,7.880535068
18.13861646,7.895807457
18.14198814,7.916048102
18.14535981,7.936288747
18.1479327,7.957047101
18.14965023,7.978359833
18.15136775,7.999672566
18.15032567,8.015633959
18.14738303,8.027909849
18.14444039,8.040185738
18.13949112,8.045620629
18.33790583,8.13920516
18.82404279,8.329640255
19.36695843,8.500587326
19.65306586,8.545104486
19.71402117,8.516909171
19.61598672,8.442819698
19.42257978,8.342809414
19.18188061,8.234043384
18.98709743,8.154908042
18.95464663,8.145429854
19.07469906,8.183964357
19.19810504,8.208142768
19.22844916,8.194950017
19.1751014,8.160409728
19.09816879,8.129379064
19.05803426,8.119944753
19.08413446,8.135971017
19.14546877,8.158298608
19.18265515,8.16594538
19.1713857,8.154446442
19.12702695,8.134110335
19.09534414,8.12066839
19.09696371,8.117863241
19.12121347,8.117254318
19.13837271,8.099236596
19.13101288,8.050663566
19.10387337,7.972928219
19.07633634,7.878570398
19.06662613,7.779296283
19.07763986,7.678890594
19.09556401,7.575558944
19.104258,7.46966579
19.0974223,7.366395992
19.0806716,7.27577042
19.06912696,7.210117128
19.0782977,7.182765679
19.10508983,7.195290512
19.13076746,7.233303218
19.14224369,7.287055221
19.13724,7.352422125
19.12414674,7.430050161
19.11290224,7.518612569
19.11854328,7.621648167
19.13390103,7.727145679
19.15025228,7.829122577
19.16116127,7.922892079
19.15258019,7.996380471
19.13425883,8.056178532
19.11554618,8.111334562
19.1029224,8.168139154
19.11000554,8.241053193
19.1249106,8.321738175
19.13926317,8.403826411
19.14681,8.482655354
19.13620419,8.550033766
19.12120724,8.611166223
19.10888908,8.666511101
19.10527793,8.716287191
19.11244918,8.75444042
19.1235577,8.778040376
19.13241459,8.787525901
19.13502071,8.78592356
19.13064803,8.777976496
19.12250657,8.767557458
19.11730666,8.757942356
19.11612282,8.749351239
19.12014654,8.742037147
19.12699827,8.735137388
19.13065717,8.727627447
19.13086142,8.720365489
19.12716545,8.714434603
19.12374824,8.711575278
19.12184404,8.716983104
19.12363616,8.739963266
19.12828441,8.783075936
19.13348454,8.835018482
19.13822135,8.900356197
19.14120795,8.97024001
19.14260931,9.041464417
19.14233639,9.111825033
19.14028365,9.168572636
19.13819249,9.225026335
19.13518381,9.252654768
19.13183067,9.269461095
19.12751176,9.261528077
19.11863382,9.187865776
19.10117766,9.030902258
19.08082283,8.823809437
19.06713471,8.583077022
19.06242226,8.328985655
19.06482855,8.07012824
19.07005135,7.81661415
19.07260309,7.579695131
19.07086335,7.38992827
19.07237477,7.258918539
19.08097425,7.191196304
19.09754445,7.185639155
19.12005737,7.248540574
19.13777526,7.353129151
19.1456109,7.487337841
19.14607944,7.644571423
19.1460839,7.819454766
19.14763571,7.999858795
19.15454489,8.179167156
19.1613366,8.344843668
19.16718228,8.497169076
19.16284347,8.604203918
19.15027679,8.680320249
19.12969222,8.723015523
19.10633233,8.746165782
19.08979026,8.780337042
18.57023152,12.6533109
17.25832152,16.71020852
17.00127472,16.48625525
17.12185761,16.60930996
17.4494783,16.93136217
17.94096689,17.41120404
18.50468795,17.96098534
19.05990357,18.50314731
19.37955845,18.81874795
19.3534525,18.7988139
19.15906568,18.61520897
18.96440882,18.43053884
18.92117345,18.39243204
19.03593391,18.50852374
19.15566789,18.63045956
19.1761222,18.65604917
19.12312432,18.60972401
19.06040726,18.55303696
19.03465726,18.53139633
19.05463508,18.55334203
19.08010105,18.57914983
19.07215455,18.57016203
19.02527606,18.51988089
18.96779586,18.45420029
18.93377608,18.39038447
18.93807656,17.94717376
19.47801512,13.6366549
20.5977557,9.755695986
21.19036801,9.226476828
21.38311132,9.026528365
21.31974455,8.818821308
21.11260284,8.621678419
20.81743468,8.457532669
20.48183468,8.345357113
20.13639699,8.265212666
19.79742346,8.214396317
19.47242855,8.183632067
19.17777587,8.179275387
18.99102854,8.232012671
18.99872152,8.364348596
19.15176478,8.536306044
19.28890171,8.687495345
19.33904326,8.832557924
19.28568382,9.142977692
19.02810091,10.2727226
18.42666097,13.1551485
17.78466246,15.7905901
17.62412722,16.77864494
17.9563624,17.38447831
18.57842007,18.06145821
19.28879088,18.77180086
19.7601084,19.24120754
19.93712812,19.42072452
19.95338076,19.4426001
19.84417758,19.3410482
19.64534108,19.15056446
19.40050567,18.91418891
19.13359245,18.6547748
18.93403309,18.45960493
18.91530675,18.43970161
19.04911867,18.56869108
19.16664742,18.68249219
19.17360159,18.68872425
19.09673746,18.61311252
19.01306844,18.53050882
18.99445199,18.51104774
19.03715497,18.55158662
19.09317931,18.60561704
19.10496968,18.61713223
19.07326166,18.58656805
19.03517421,18.54988747
19.02457614,18.54011161
19.04609153,18.56197182
19.0703326,18.5867765
19.07761839,18.59523865
19.0692647,18.58848795
19.0540068,18.57492578
19.04304164,18.56539602
19.04183154,18.56520465
19.04657753,18.57069649
19.05289957,18.57742824
19.05397777,18.57869655
19.05066428,18.57532961
19.0428187,18.56711392
19.03531532,18.55863647
19.03044211,18.55249252
19.02984058,18.5501968
